SeccionNombreCompleto,Zonificacion,Clasificacion,DensidadPoblacion,SeccionNro,SeccionNombre,RacioCensal,Poblacion,Hogares,Desocupados,Edad 0 a 14,Edad mayor 65,InicialCompleto,PrimarioCompleto,EGBCompleto,SecundarioCompleto,PolimodalCompleto,SuperiorCompleto,UniversitarioCompleto,PostgradoCompleto,LeeEscribe,NoLeeEscribe,Hacinamiento,RedAguaNO,CloacaNO,PVNum,PVNom,Direccion,x_wgs,y_wgs,id,fid,Densidad comercial
,Residencial urbano,Urbano,69585,4,,500070707,666,234,18,91,115,12,81,39,165,42,81,200,13,625,14,1,0,0,,,,-6.884.014,-3.286.785,"-68,84014-32,86785",1986,506.461
,Residencial urbano,Urbano,69585,4,,500070707,666,234,18,91,115,12,81,39,165,42,81,200,13,625,14,1,0,0,,,,-6.884.142,-3.286.777,"-68,84142-32,86777",3169,299.958
,Residencial urbano,Urbano,69585,4,,500070707,666,234,18,91,115,12,81,39,165,42,81,200,13,625,14,1,0,0,,,,-6.884.033,-3.286.858,"-68,84033-32,86858",1985,603.065
,Residencial urbano,Urbano,74733,4,Cuarta Oeste,500070703,714,254,19,141,109,28,96,51,184,35,86,178,10,649,32,6,0,2,,,,-688.357,-3.286.595,"-68,8357-32,86595",1403,6.9327
,Residencial urbano,Urbano,69585,4,,500070707,666,234,18,91,115,12,81,39,165,42,81,200,13,625,14,1,0,0,,,,-6.883.973,-3.287.068,"-68,83973-32,87068",4665,3.460.246
,Residencial urbano,Urbano,69585,4,,500070707,666,234,18,91,115,12,81,39,165,42,81,200,13,625,14,1,0,0,,,,-6.883.974,-3.287.069,"-68,83974-32,87069",4674,3.464.131
,Residencial urbano,Urbano,,4,,500490412,845,253,36,186,122,27,190,56,279,42,57,118,8,753,42,2,0,3,,,,-6.883.798,-3.286.242,"-68,83798-32,86242",23,314.457
,Residencial urbano,Urbano,69585,4,,500070707,666,234,18,91,115,12,81,39,165,42,81,200,13,625,14,1,0,0,,,,-6.884.067,-3.286.985,"-68,84067-32,86985",4081,2.029.291
,Residencial urbano,Urbano,,4,,500490413,493,146,31,130,88,22,144,26,171,12,24,44,3,424,45,5,0,2,,,,-6.883.812,-3.286.242,"-68,83812-32,86242",27,319.881
,Residencial urbano,Urbano,,4,,500490413,493,146,31,130,88,22,144,26,171,12,24,44,3,424,45,5,0,2,,,,-6.884.109,-3.286.243,"-68,84109-32,86243",32,598.055
,Residencial urbano,Urbano,,4,,500490413,493,146,31,130,88,22,144,26,171,12,24,44,3,424,45,5,0,2,,,,-6.884.028,-3.286.244,"-68,84028-32,86244",36,490.242
6ta Seccion Residencial Norte,Residencial urbano,Urbano,,6,Residencial Norte,500490414,1059,308,29,275,138,41,324,78,333,67,62,78,2,950,63,9,0,23,,,,-6.884.297,-3.286.246,"-68,84297-32,86246",43,505.857
,Residencial urbano,Urbano,74733,4,Cuarta Oeste,500070703,714,254,19,141,109,28,96,51,184,35,86,178,10,649,32,6,0,2,,,,-6.883.462,-3.286.687,"-68,83462-32,86687",2639,1.601.211
6ta Seccion Residencial Norte,Residencial urbano,Urbano,,6,Residencial Norte,500490414,1059,308,29,275,138,41,324,78,333,67,62,78,2,950,63,9,0,23,,,,-6.884.394,-3.286.251,"-68,84394-32,86251",47,418.169
1ra Seccion Parque Central,Comercial,Altamente urbano,64952,1,Parque Central,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,,,,-6.884.543,-328.724,"-68,84543-32,8724",2329,564.352
1ra Seccion Parque Central,Residencial urbano,Urbano,64952,1,Parque Central,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,,,,-6.884.355,-3.287.275,"-68,84355-32,87275",5560,958.911
1ra Seccion Parque Central,Residencial urbano,Urbano,64952,1,Parque Central,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,,,,-6.884.119,-3.287.179,"-68,84119-32,87179",2145,1.900.437
6ta Seccion Residencial Norte,Residencial urbano,Urbano,71373,6,Residencial Norte,500070701,643,212,25,104,87,17,118,29,171,42,66,145,19,595,20,3,0,8,,,,-6.884.299,-3.286.276,"-68,84299-32,86276",76,616.397
6ta Seccion Residencial Norte,Residencial urbano,Urbano,72185,6,Residencial Norte,500071107,770,257,15,143,149,26,168,34,212,33,72,178,7,712,27,2,0,4,,,,-6.884.393,-3.286.277,"-68,84393-32,86277",80,535.382
1ra Seccion Parque Central,Comercial,Altamente urbano,64952,1,Parque Central,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,,,,-6.884.417,-3.287.297,"-68,84417-32,87297",2325,1.084.206
1ra Seccion Parque Central,Comercial,Altamente urbano,64952,1,Parque Central,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,,,,-6.884.354,-3.287.287,"-68,84354-32,87287",5663,964.995
6ta Seccion Residencial Norte,Residencial urbano,Urbano,66755,6,Residencial Norte,500071110,853,287,24,138,160,31,113,29,190,32,90,318,19,799,31,0,0,0,,,,-6.885.664,-3.287.184,"-68,85664-32,87184",2161,477.572
6ta Seccion Residencial Norte,Residencial urbano,Urbano,66755,6,Residencial Norte,500071110,853,287,24,138,160,31,113,29,190,32,90,318,19,799,31,0,0,0,,,,-6.885.721,-3.287.118,"-68,85721-32,87118",4816,1.8768
6ta Seccion Residencial Norte,Residencial urbano,Urbano,66755,6,Residencial Norte,500071110,853,287,24,138,160,31,113,29,190,32,90,318,19,799,31,0,0,0,,,,-6.885.586,-3.287.124,"-68,85586-32,87124",2240,626.526
6ta Seccion Residencial Norte,Residencial urbano,Urbano,72185,6,Residencial Norte,500071107,770,257,15,143,149,26,168,34,212,33,72,178,7,712,27,2,0,4,,,,-6.884.391,-3.286.331,"-68,84391-32,86331",165,820.943
6ta Seccion Residencial Norte,Residencial urbano,Urbano,,6,Residencial Norte,500491217,733,235,21,158,50,28,111,16,180,19,100,234,5,672,32,0,0,0,,,,-6.885.359,-3.286.333,"-68,85359-32,86333",172,43.817
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-6.885.787,-3.286.359,"-68,85787-32,86359",291,2
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-6.885.846,-3.286.414,"-68,85846-32,86414",480,11.018
